File Name,Average Precision,Average Sequence Matcher Similarity Precision,Average Cosine Similarity Precision
exercise_2_01_types_ranges_result,13.010418661031851,18.780957393586124,9.729733705551658
exercise_7_08_print_result,21.399821513831725,20.36509964832805,12.199086102622255
exercise_4_14_swap_result,16.243878159004957,16.138770567568987,6.78887790787462
exercise_5_03_strcat_result,20.773143090097157,18.486372901690135,11.770704902450216
exercise_1_05_celsius_fahrenheit_result,19.094606712823502,20.77556432997653,14.777321816305037
exercise_5_06_getop_result,16.653138317925393,17.27242938228385,10.843450721013996
exercise_5_08_date_conversion_result,18.556544252781798,21.02146090887124,21.907275937592075
exercise_1_17_line_80_result,20.4430793172239,19.902220716617265,12.50887806815675
exercise_1_10_copy_io_esc_replace_result,35.95307117591792,24.8492330303156,19.173558785438534
exercise_5_04_strend_result,18.750741250514572,16.96115072287507,11.496714129091439
exercise_7_05_calculator_result,22.84252565476798,19.620963232389357,15.455861228059206
exercise_2_07_invert_result,14.22831629592777,18.49124922299784,12.047537514045995
exercise_2_09_bitcount_result,24.4701765581931,22.1417897447215,14.60327106945589
exercise_8_01_cat_result,19.13978723134415,18.766082478150977,13.111081948408836
exercise_4_04_stack_result,21.519960233785447,20.38862645649571,14.498980068485523
exercise_7_07_find_result,18.885474885064415,17.460745673016355,10.865292456189048
exercise_2_08_rightrot_result,23.78417215501269,23.758908638343975,14.645073636409874
exercise_1_02_printf_argument_result,32.16574285685754,30.527483621824082,23.301408557034588
exercise_4_03_calculator_result,17.502764213045275,16.31672459532131,14.785705812136898
exercise_5_10_expr_result,24.397370777475498,20.657716544048583,15.73992291501197
exercise_4_05_math_result,21.22208820608614,20.356808587918742,14.539954489803183
exercise_7_03_minprintf_result,25.528884258502053,24.173492602243556,16.515783772982495
exercise_1_14_frequency_histogram_result,26.278561621263915,22.474143674283976,11.777397632799406
exercise_4_07_ungets_result,20.33877248268839,21.16751341442254,12.816848815461357
exercise_5_12_detab_result,23.017211558605386,18.845202850064542,11.624249846282332
exercise_1_01_hello_world_result,34.69088568911006,34.684271159701396,22.863243211459583
exercise_5_07_readlines_result,19.121960157930314,18.26050833060191,11.50380006285124
exercise_5_19_undcl_result,19.28636429977111,20.000066769278167,12.286146914107448
exercise_6_03_cross_referencer_result,21.177779155250942,19.77141406454933,14.695819091495624
exercise_5_06_reverse_result,17.77841229071674,16.606287508146266,9.383971925572473
exercise_6_01_count_c_keywords_result,19.856508479915465,18.23653474806993,10.297119315487674
exercise_5_20_dcl_result,20.056963893011016,19.94741715513749,12.766598015899572
exercise_6_06_define_result,20.4430793172239,19.902220716617265,12.50887806815675
exercise_6_02_var_group_result,20.784681300678855,19.136042578880076,15.208892942881238
exercise_1_22_fold_line_result,18.375446549366387,18.124687636690492,11.036725822217551
exercise_8_04_syscalls_result,20.32105745123348,20.2549203266846,13.552012663765783
exercise_6_05_undef_result,21.808491046405464,19.998551793999898,14.294740567073019
exercise_1_16_longest_line_result,22.300683357149442,21.020358605335453,12.971178272223
exercise_7_06_compare_result,16.870542713784594,17.390641220079594,10.659187059003855
exercise_3_03_expand_result,17.40856926546859,15.45964381212093,11.534826815114215
exercise_5_06_itoa_result,20.271437363890534,19.491713327612732,10.923841936741868
exercise_8_06_calloc_result,21.22049205054773,19.266961923173607,13.844899105562138
exercise_2_04_squeeze_result,19.314386618922246,16.244436683849795,14.160710401280408
exercise_1_23_c_remove_comments_result,18.800591050388906,17.48548789365427,9.052273817152338
exercise_2_05_any_result,20.715788657288847,17.3857746529494,15.048873699592304
exercise_6_04_words_frequency_result,22.023917892904333,19.9253634437322,15.441831041386592
exercise_5_05_strncat_result,19.268684677343995,21.269738458161772,12.127162870832004
exercise_2_03_htoi_result,18.698807191778663,18.560721103308417,11.990404719306813
exercise_1_11_word_count_test_result,21.63313581754275,19.733227309927518,11.068927906284387
exercise_5_13_tail_result,21.444877247151233,19.860906558618108,12.518156516197099
exercise_4_06_variables_result,21.578757243272776,20.91423007081708,14.436390964090482
exercise_1_24_check_syntax_result,18.774125808825517,18.399863127716973,11.181071893551403
exercise_5_06_atoi_result,24.985467605443446,22.44110557503766,11.328427459837817
exercise_1_13_histogram_result,24.229575287322874,20.548245450030915,13.034558934439394
exercise_1_08_count_b_t_n_result,33.435808673262834,26.88005480511314,17.011708493421985
exercise_5_05_strncmp_result,20.22902313920081,18.15599851651193,10.523202153701098
exercise_2_02_loop_result,20.372874678351092,19.498780857479048,13.117607316732323
exercise_2_10_lower_result,25.78929961404899,24.927034873227893,11.203643428241078
exercise_7_04_minscanf_result,21.568242466431563,20.64196713194808,16.04317263560988
exercise_7_01_case_result,19.617587518556746,21.345617604507577,13.767637151709595
exercise_5_06_getline_result,20.71552794898345,21.3905984752275,9.255796614026119
exercise_8_08_bfree_result,21.65314893384515,19.95961868843571,12.820082538014766
exercise_5_01_getint_result,21.35061998609894,18.990782537415022,11.654424394144396
exercise_5_06_strindex_result,21.626809047633373,18.73185663948561,13.855123739454921
exercise_3_02_escape_result,22.341539007943904,19.393871619463127,12.975266035028184
exercise_4_09_getch_result,24.958517236429962,24.27076247263032,14.679793404736618
exercise_1_03_fahrenheit_celsius_result,19.580438914573023,21.070833131863424,16.673530166056157
exercise_3_05_itob_result,19.302882867032444,19.691237248811866,13.555724181934872
exercise_4_02_atof_result,20.03309515178825,19.025655072848277,10.164239239574085
exercise_2_06_setbits_result,14.575627304694383,19.136888565279108,11.91498654568584
exercise_7_09_isupper_result,23.249477762871223,22.923593521927536,12.888313042798286
exercise_8_07_malloc_free_result,22.21625089159638,19.893849099691504,13.063892762272197
exercise_1_06_verify_expression_result,20.4031941994905,21.140790530998288,9.492403069789313
exercise_1_15_temperature_conversion_result,22.03787007917656,22.423177063000225,13.962876406663193
exercise_5_02_getfloat_result,19.970008459064125,19.373950948236697,10.685553711635421
exercise_1_07_print_eof_result,23.069348037020447,23.82200128083636,15.735373257103575
exercise_5_09_date_conversion_pointers_result,20.682997398574877,22.181254356917137,22.177469632243625
exercise_1_18_trailing_blanks_result,18.427194993994558,19.144258212531476,12.192658019270944
exercise_1_09_copy_io_result,31.054685265065316,25.948968429226007,12.436751155438982
exercise_5_17_sort_result,21.12801435128648,19.2549203223568,14.552012663765783
exercise_3_01_binsearch_result,21.954155462127122,19.619317657522945,16.7254960822735
exercise_1_12_copy_io_nl_result,29.224914065636817,23.077296336919733,13.81147508724146
exercise_5_12_entab_result,22.299904764563674,18.832956857921463,11.292712681918013
exercise_8_05_fsize_result,20.51745951661415,21.45041289499555,13.872104026011517

Average Precision Mean: 21.46224093637345
Average Sequence Matcher Similarity Precision Mean: 20.383575698763906
Average Cosine Similarity Precision Mean: 13.349400874865776


